fid,MDI_IDENT,STATUS_ID,STATUS,NAME,All_NAMES,DEP_CLASS,P_COMMOD,S_COMMOD,RGP_DIST,TWP_AREA,LL_DATUM,LATITUDE,LONGITUDE,DETAIL,potentiel
987,MDI000000001851,1005,Past Producing Mine,Nickel Rim South Mine,Nickel Rim South Mine,Magmatic,"Cobalt, Copper, Nickel, Palladium, Platinum","Gold, Silver",Sudbury,Maclennan,NAD83,46.657280999999998,-80.797674000000001,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI000000001851,Très fort
990,MDI41I09NW00038,1004,Occurrence,Kirkland Townsite,Kirkland Townsite,"Mafic-Ultramafic Intrusion, Magmatic","Copper, Nickel",,Sudbury,Janes,NAD83,46.672035999999999,-80.388840000000002,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI41I09NW00038,Très fort
994,MDI42A14NW00017,1004,Occurrence,Temco DDH 75-2,Temco DDH 75-2,Mafic-Ultramafic Intrusion,"Copper, Nickel",,Timmins,Nesbitt,NAD83,48.886073000000003,-81.461894999999998,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI42A14NW00017,Fort
995,MDI42A07SW00017,1003,Discretionary Occurrence,Dominion Gulf Property,Dominion Gulf Property,,Asbestos,"Chromium, Nickel",Timmins,Langmuir,NAD83,48.294001000000002,-80.976640000000003,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI42A07SW00017,Fort
1003,MDI000000000126,1004,Occurrence,Inco DH 31901/ 31903,Inco DH 31901/ 31903,,Nickel,,Timmins,Aubin,NAD83,48.891463999999999,-81.571628000000004,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI000000000126,Fort
1004,MDI41I06NE00002,1007,Producing Mine,Copper Cliff Complex,"Clarabelle-Copper Cliff North, Copper Cliff Complex, Copper Cliff North Mine",Impact Mafic-Ultramafic Intrusion,"Copper, Nickel","Arsenic, Cobalt, Gold, Iron, Palladium, Platinum, Selenium, Silver, Sulphur/Pyrite, Tellurium",Sudbury,McKim,NAD83,46.492300000000000,-81.067758999999995,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI41I06NE00002,Très fort
1006,MDI000000000128,1004,Occurrence,Inco DH 25065,Inco DH 25065,,Nickel,,Timmins,Aubin,NAD83,48.962988000000003,-81.600329000000002,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI000000000128,Fort
1011,MDI000000000109,1004,Occurrence,Inco DH 25027,Inco DH 25027,,Nickel,"Copper, Zinc",Timmins,Nesbitt,NAD83,48.914386000000000,-81.408542999999995,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI000000000109,Fort
1014,MDI000000000108,1004,Occurrence,Inco DH 25023,Inco DH 25023,,"Copper, Nickel",,Timmins,Nesbitt,NAD83,48.906314999999999,-81.409091000000004,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI000000000108,Fort
1016,MDI41I09NW00040,1004,Occurrence,Chiniguchi River West,"Chiniguchi River West, Janes Property - SPC, Kennco Expl. Ltd.","Mafic-Ultramafic Intrusion, Vein","Copper, Nickel","Gold, Palladium, Platinum, Silver",Sudbury,Janes,NAD83,46.696038999999999,-80.380840000000006,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI41I09NW00040,Très fort
1017,MDI41I06NE00019,1003,Discretionary Occurrence,McKim L Occurrence,McKim L Occurrence,,"Copper, Nickel",,Sudbury,McKim,NAD83,46.458182000000001,-81.064097000000004,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI41I06NE00019,Très fort
1018,MDI52N04SE00126,1004,Occurrence,McDougal Lake - Cu-Ni Occurrence,McDougal Lake - Cu-Ni Occurrence,,"Copper, Nickel",,Red Lake,Balmer,NAD83,51.065390000000001,-93.655624000000003,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI52N04SE00126,Modéré
1020,MDI000000001343,1004,Occurrence,BF Showing,"BF Showing, Copper Showing",,"Copper, Nickel, Silver","Gold, Zinc",Red Lake,Rathouse Bay Area,NAD83,52.995834000000002,-93.386579999999995,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI000000001343,Modéré
1027,MDI41P11SE00075,1004,Occurrence,Little Nickel Deposit,"Fort Knox Gold Resources Inc, Inco Ltd., Little Nickel Deposit, North Grid",,"Copper, Lead, Nickel, Zinc",,Kirkland Lake,Fawcett,NAD83,47.570905000000003,-81.179371000000003,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI41P11SE00075,Fort
1028,MDI42A06SE00094,1004,Occurrence,Triple Crown Property,"Granges Trench 100w/750s, Starfire DDH Tc-03-01, Triple Crown Property",,Nickel,,Timmins,Eldorado,NAD83,48.295389999999998,-81.108030999999997,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI42A06SE00094,Fort
1030,MDI52B09NW00030,1004,Occurrence,Shawmin N-20,Shawmin N-20,,"Copper, Nickel",Zinc,Thunder Bay South,Haines,NAD83,48.630408000000003,-90.383958000000007,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI52B09NW00030,Intermédiaire
1038,MDI42A15SW00044,1004,Occurrence,Inco DH 6232,Inco DH 6232,,Nickel,Copper,Timmins,Little,NAD83,48.792211000000002,-80.943528000000001,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI42A15SW00044,Fort
1039,MDI52N04NW00005,1003,Discretionary Occurrence,Cochenour Explorations DDH #66-28,"Cochenour Explorations DDH #66-28, East Group Goldseekers, Post Narrows",,"Cobalt, Nickel","Gold, Silver",Red Lake,McDonough,NAD83,51.128255000000003,-93.806900999999996,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI52N04NW00005,Modéré
1041,MDI41I06NE00082,1004,Occurrence,J. Rauhala,J. Rauhala,,"Copper, Nickel",,Sudbury,Waters,NAD83,46.384397000000000,-81.132987000000000,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI41I06NE00082,Très fort
1044,MDI41I06NW00014,1005,Past Producing Mine,Victoria Project,"McConnell Mine, Mond Mine, Victoria Mine, Victoria Project",Mafic-Ultramafic Intrusion,"Copper, Nickel","Cobalt, Gold, Palladium, Platinum",Sudbury,Denison,NAD83,46.423797000000000,-81.387512000000001,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI41I06NW00014,Très fort
1045,MDI41I06NW00103,1003,Discretionary Occurrence,Riopelle Prospect,"MacDonald Mine, Riopelle Prospect",Vein,"Copper, Nickel",,Sudbury,Denison,NAD83,46.415795000000003,-81.395821999999995,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI41I06NW00103,Très fort
1047,MDI41I10SW00007,1005,Past Producing Mine,Kirkwood Mine,"Kirkwood Mine, Segway Deposit",,"Copper, Nickel","Palladium, Platinum",Sudbury,Garson,NAD83,46.567022999999999,-80.897857999999999,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI41I10SW00007,Très fort
1048,MDI41P14NW00008,1004,Occurrence,Phillips-Edleston Group,"Buffalo Ankerite Property, Phillips-Edleston Group, Preston East Dome Option",Vein,"Lead, Nickel, Silver, Zinc","Copper, Gold",Timmins,Sothman,NAD83,47.907725999999997,-81.319878000000003,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI41P14NW00008,Fort
1052,MDI41P16SW00004,1004,Occurrence,Montreal River,"Cobalt Union Mine Ltd, Demers, Montreal River, Silver-Men",,Silver,"Copper, Nickel",Kirkland Lake,Smyth,NAD83,47.755184000000000,-80.345436000000007,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI41P16SW00004,Fort
1055,MDI41P14NW00018,1004,Occurrence,Granges DDH H-48,Granges DDH H-48,Magmatic,Nickel,,Timmins,Sothman,NAD83,47.910214000000003,-81.261197999999993,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI41P14NW00018,Fort
1058,MDI52B13NE00013,1004,Occurrence,Nic-Cop,"Cranston Copper, Fin-Lan Copper, Nic-Cop",,Copper,Nickel,Thunder Bay South,Finlayson Lake Area,NAD83,48.894492999999997,-91.618166000000002,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI52B13NE00013,Intermédiaire
1060,MDI41P09NW00043,1009,Past Producing Mine (Low Tonnage),McManus Group,"G.S. Welsh Property, McManus Group, Munro Property, Regent Mines Ltd. Shaft",Vein,"Cobalt, Copper, Nickel, Silver",,Kirkland Lake,James,NAD83,47.722855000000003,-80.280635000000004,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI41P09NW00043,Fort
1063,MDI41P11NE00056,1004,Occurrence,Houston Lake,Houston Lake,,"Gold, Nickel",,Kirkland Lake,MacMurchy,NAD83,47.655366000000001,-81.140714000000003,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI41P11NE00056,Fort
1064,MDI41I09SE00009,1003,Discretionary Occurrence,Bradley Zone,"Bradley Zone, Crerar Occurrence",,"Copper, Nickel",,Sudbury,Crerar,NAD83,46.598767000000002,-80.219900999999993,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI41I09SE00009,Très fort
1065,MDI42E13SW00026,1004,Occurrence,Coleman-Gray,Coleman-Gray,,"Copper, Nickel",Gold,Thunder Bay North,Pifher,NAD83,49.800263000000001,-87.870720000000006,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI42E13SW00026,Intermédiaire
1072,MDI42A03NW00029,1004,Occurrence,Donut Lake Showing,"Donut Lake Showing, Sandrelli Claims",,"Copper, Nickel, Silver",Gold,Timmins,Musgrove,NAD83,48.184387999999998,-81.359669999999994,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI42A03NW00029,Fort
1073,MDI42A15SW00051,1004,Occurrence,International Mogul DDH 73-6,International Mogul DDH 73-6,,Nickel,,Timmins,Mann,NAD83,48.839855999999997,-80.975703999999993,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI42A15SW00051,Fort
1077,MDI42C02SE00090,1001,Deposit,Lakemount Property,"Lakemount F Vein, Lakemount Property, Sunrise Lake Peridotite","Mafic-Ultramafic Intrusion, Magmatic","Copper, Nickel, Platinum","Gold, Palladium",Sault Ste. Marie,Esquega,NAD83,48.063184999999997,-84.626369999999994,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI42C02SE00090,Faible
1081,MDI42A15SW00040,1004,Occurrence,Dome DDH 110-6,"Dome DDH 110-6, North Dome",,"Copper, Nickel",Zinc,Timmins,Mann,NAD83,48.822541000000001,-80.996829000000005,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI42A15SW00040,Fort
1082,MDI41P10NE00059,1004,Occurrence,Haultain,Haultain,,Silver,"Cobalt, Copper, Iron, Nickel",Kirkland Lake,Haultain,NAD83,47.692061000000002,-80.672871999999998,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI41P10NE00059,Fort
1089,MDI41P09NW00050,1004,Occurrence,Downey Group Property,"Bermead Mining Syndicate, Downey Group Property, James Twp. Silver Mines Ltd., Kerry Mining Company, Regal Shaft, Silver Horn Mining Co. Ltd., Silverstrike Property, Tee Arr Mining Company Property",Vein,"Bismuth, Cobalt, Copper, Nickel, Silver",,Kirkland Lake,James,NAD83,47.723511999999999,-80.377729000000002,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI41P09NW00050,Fort
1090,MDI41J01NE00072,1004,Occurrence,Big Game,"Big Game, Richer",Vein,"Cobalt, Copper, Nickel",Sulphur/Pyrite,Sudbury,Harrow,NAD83,46.174221000000003,-82.003000000000000,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI41J01NE00072,Très fort
1091,MDI41J08SE00013,1003,Discretionary Occurrence,Whitson Lake South,"Kerr-Addison F, Whitson Lake South",,Nickel,Copper,Sudbury,May,NAD83,46.255445999999999,-82.032375000000002,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI41J08SE00013,Très fort
1092,MDI41P09NW00038,1008,Prospect,Beaver Auxiliary Mines Company Ltd. Shaft,"Beaver Auxiliary Mines Company Ltd. Shaft, Gray and Murray",Vein,"Cobalt, Copper, Lead, Nickel, Silver",,Kirkland Lake,James,NAD83,47.737202000000003,-80.363800999999995,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI41P09NW00038,Fort
1095,MDI42A15SW00047,1004,Occurrence,Falconbridge DDH New-12-01,Falconbridge DDH New-12-01,,Nickel,,Timmins,Newmarket,NAD83,48.803973999999997,-80.910557999999995,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI42A15SW00047,Fort
